qsrank	schoolname	qsstars	overall	academic	employer	faculty	international	internationalstudents	citations	arts	engineering	life	natural	social
96	University of Alberta		69.30	77.80	59.60	61.50	90.50	72.90	57.60	64.40	69.00	72.90	71.90	66.70
97	University of Groningen		69.20	66.40	57.30	73.80	91.90	90.20	63.90	61.30	58.40	71.90	69.90	63.30
98	University of Leeds		69.20	81.30	87.30	48.20	77.80	72.60	52.50	69.00	70.20	73.30	73.40	69.40
99	Georgia Institute of Technology		68.40	76.20	82.90	18.80	41.60	72.10	99.60	44.40	84.20	60.00	77.40	63.60
100	Nagoya University		68.40	72.30	64.70	94.10	21.80	28.80	57.00	52.10	68.10	67.90	73.90	59.50
101	Purdue University		68.40	78.60	82.80	35.50	95.10	77.20	63.70	49.60	77.50	69.20	76.70	65.60
102	Universität Freiburg		67.90	79.20	39.10	59.60	59.00	43.10	75.10	70.90	63.80	74.50	73.10	60.90
103	University of Minnesota		67.90	83.10	50.00	35.60	6.10	41.40	99.40	58.90	72.20	75.10	78.00	71.40
104	City University of Hong Kong		67.70	67.00	55.10	80.50	100.00	89.40	47.90	63.80	70.90	0.00	68.60	73.80
105	The University of Adelaide		67.70	74.80	78.70	47.70	91.50	91.60	54.90	60.70	67.00	73.30	68.50	66.70
106	University of Pittsburgh		67.60	55.70	25.30	94.20	68.10	39.00	91.50	61.70	62.60	78.40	64.80	61.00
107	Pennsylvania State University		67.50	82.40	85.80	34.50	12.70	40.50	80.60	62.20	74.00	72.80	77.40	70.20
108	Pohang University of Science And Technology (POSTECH)		67.50	51.70	54.70	99.90	59.10	18.20	86.40	0.00	71.70	58.50	74.50	0.00
109	Freie Universität Berlin		66.90	93.40	62.20	29.60	51.80	55.40	58.90	76.10	63.60	66.10	73.70	69.40
110	University of Basel		66.20	54.30	44.70	60.30	100.00	81.30	93.10	61.30	62.30	74.80	68.20	55.50
111	University of Lausanne		66.10	51.80	44.50	61.70	93.20	89.70	96.20	55.70	0.00	75.70	60.20	62.20
112	Université Pierre et Marie Curie (UPMC)		65.90	72.40	48.20	49.60	36.60	63.60	84.50	0.00	69.70	74.30	81.60	0.00
113	Ohio State University	5	65.80	78.90	59.50	45.80	82.40	40.60	63.90	61.60	68.50	77.40	73.40	69.70
114	Yonsei University		65.10	76.30	82.00	86.20	16.30	37.40	31.00	61.80	67.80	66.30	71.00	70.60
115	Queen Mary, University of London (QMUL)		64.80	63.40	53.50	68.60	95.50	96.70	52.70	64.30	63.00	72.80	67.80	60.70
116	Karlsruhe Institute of Technology (KIT)		64.70	66.00	92.30	92.10	54.50	55.10	24.50	42.80	78.90	54.30	80.40	54.00
117	University of Maryland, College Park		64.70	69.40	47.10	64.60	37.30	36.00	77.00	58.30	68.50	67.30	75.90	67.20
118	KTH, Royal Institute of Technology	5	64.50	61.90	83.10	69.00	86.90	76.90	46.00	44.10	80.10	0.00	74.40	56.80
119	Dartmouth College		64.10	43.60	65.60	86.50	10.30	53.50	97.10	59.40	57.40	68.30	0.00	64.60
120	Lomonosov Moscow State University 		63.90	84.10	64.80	99.90	8.70	37.30	6.30	0.00	65.60	53.70	75.40	58.50
121	Maastricht University		63.80	37.30	81.40	76.50	96.30	99.90	76.80	50.40	0.00	76.00	0.00	67.60
122	University of Ghent		63.70	66.80	60.90	86.90	56.40	29.60	45.00	63.40	69.60	75.40	71.70	67.70
123	Shanghai Jiao Tong University		63.60	83.60	90.70	41.10	20.40	12.30	54.90	51.90	78.70	68.10	73.50	70.20
124	University of York		63.50	72.50	72.90	44.80	47.90	82.90	57.30	73.70	62.50	66.60	66.00	66.10
125	University of Southern California		63.20	67.10	59.70	55.30	20.10	71.70	72.70	64.80	70.30	71.70	66.00	67.20
126	Humboldt-Universität zu Berlin		63.10	97.20	58.50	29.20	48.70	43.40	38.70	77.90	66.60	70.70	75.10	69.90
127	Universidade de São Paulo (USP)		63.00	94.20	87.60	36.80	11.40	5.70	40.50	65.50	71.60	70.30	73.00	73.40
128	Georg-August-Universität Göttingen		62.80	76.00	38.60	81.10	44.50	35.80	40.40	61.90	57.20	71.30	74.90	58.20
129	Newcastle University	5	62.50	50.40	77.00	64.80	82.10	91.00	63.80	57.30	64.20	71.70	62.90	60.50
130	University of California, Santa Barbara (UCSB)		62.20	81.60	16.60	14.30	66.60	30.30	99.90	51.90	69.10	60.60	81.00	54.40
131	University of Liverpool		62.20	56.00	76.10	62.00	77.10	85.90	57.30	57.80	67.70	71.10	71.40	57.60
132	University of Virginia		62.10	53.50	64.80	68.70	49.80	39.70	78.70	64.30	59.20	69.90	64.40	66.50
133	Kyushu University		62.00	66.80	75.20	98.00	17.80	23.80	29.50	52.00	67.20	67.90	69.90	55.30
134	Eberhard Karls Universität Tübingen		61.80	66.90	55.80	89.50	35.10	41.20	37.60	70.70	0.00	74.90	69.10	57.40
135	Technical University of Denmark		61.80	41.50	49.70	98.40	92.70	72.60	60.40	0.00	79.60	61.50	74.20	0.00
136	Cardiff University		61.70	60.20	66.30	63.80	72.50	72.70	53.70	60.80	64.00	72.10	65.90	66.90
137	Rice University		61.70	48.30	24.50	67.60	64.20	70.70	97.20	53.90	73.30	52.90	76.00	54.70
138	Université Catholique de Louvain (UCL)		61.30	75.50	68.50	40.00	81.00	66.60	43.30	65.30	69.10	68.20	70.80	71.90
139	University College Dublin		61.20	61.50	66.70	54.60	93.30	96.50	46.40	63.40	68.30	68.60	66.50	66.90
140	McMaster University		61.00	60.40	52.30	39.30	82.40	51.80	84.00	51.90	67.30	75.70	69.20	61.10
141	Emory University		60.90	42.70	30.80	87.80	18.10	43.50	99.40	53.40	0.00	78.80	59.80	59.10
142	Hebrew University of Jerusalem		60.90	68.00	37.50	73.40	28.20	9.20	65.70	63.00	62.40	70.20	67.80	61.10
143	Radboud University Nijmegen		60.80	44.20	52.90	75.10	57.20	36.80	89.60	56.00	0.00	71.70	64.10	57.60
144	Hokkaido University		60.60	64.90	61.20	88.00	13.50	18.80	45.30	46.40	66.80	65.30	71.70	56.40
145	Korea University		60.50	71.20	77.70	79.90	19.10	32.00	27.30	61.80	67.10	61.10	69.70	70.10
146	University of Cape Town		60.50	68.70	65.50	34.20	68.80	57.20	65.40	64.10	61.40	68.80	64.20	68.20
147	Rheinisch-Westfälische Technische Hochschule Aachen		60.10	74.60	94.40	38.10	38.90	48.00	43.40	54.80	79.80	63.10	78.60	56.20
148	University of Aberdeen		59.90	53.60	50.60	53.60	89.40	94.90	66.20	60.90	62.90	70.20	59.90	60.40
149	University of California, Irvine 		59.60	66.40	40.40	25.50	53.10	28.70	98.10	59.40	68.00	72.50	74.00	63.70
150	Wageningen University		59.40	49.60	41.20	100.00	46.50	86.20	43.00	0.00	0.00	70.20	74.10	58.30
151	University of Bergen		59.20	48.80	28.00	73.10	75.60	25.70	84.90	57.40	57.50	64.90	64.50	63.10
152	University of Rochester		59.20	42.40	12.10	99.90	39.10	74.00	75.90	55.30	59.80	71.10	66.50	62.30
153	Texas A&M University		58.70	73.00	74.20	19.70	20.20	28.20	77.60	53.10	72.80	67.70	76.00	64.10
154	University of Bern		58.40	40.00	44.70	87.10	99.00	44.50	65.70	56.60	0.00	67.40	68.10	56.20
155	University of Otago		58.20	62.20	56.60	30.70	100.00	76.20	62.30	58.90	0.00	72.70	62.00	65.80
156	Lancaster University		58.10	60.30	68.20	41.60	84.40	91.90	48.90	65.50	62.10	0.00	64.40	72.80
157	Eindhoven University of Technology		58.00	46.90	53.20	99.70	99.70	27.00	37.10	41.00	74.70	0.00	73.50	0.00
158	Ecole Normale Supérieure de Lyon 		57.70	59.40	28.40	100.00	58.90	42.80	28.90	0.00	57.80	0.00	65.50	0.00
159	University of Vienna		57.70	84.00	45.00	26.90	85.30	89.30	26.20	70.40	61.70	66.40	73.80	66.40
160	University of Colorado Boulder		57.60	53.60	65.90	69.30	38.30	12.10	65.10	54.40	68.40	65.50	79.30	60.60
161	The Hong Kong Polytechnic University		57.50	60.90	59.10	46.70	99.60	89.10	41.20	59.60	73.70	0.00	65.80	70.80
162	Sungkyunkwan University	5	57.40	56.50	87.40	88.30	19.50	38.00	26.40	59.90	67.30	63.90	68.60	63.30
163	Rheinische Friedrich-Wilhelms-Universität Bonn		57.30	70.10	33.40	69.00	15.50	41.90	45.40	57.50	58.10	68.60	74.80	63.30
164	Universidad Nacional Autónoma de México (UNAM)		57.30	95.00	78.20	44.70	19.20	2.70	6.30	69.30	66.20	66.80	69.20	69.90
165	Zhejiang University		57.20	72.60	72.90	30.00	14.70	20.40	64.40	54.20	73.70	62.60	72.70	65.90
166	Pontificia Universidad Católica de Chile		57.00	85.50	87.40	42.10	17.10	21.20	17.50	66.30	64.00	60.30	61.40	69.90
167	Universiti Malaya (UM)		56.90	58.80	60.80	90.00	77.30	75.20	7.50	0.00	64.40	56.60	0.00	64.10
168	Université Libre de Bruxelles (ULB)		56.80	58.50	58.60	41.50	92.50	96.20	47.90	59.90	64.50	69.60	69.70	66.90
169	University of Exeter		56.80	54.20	75.40	37.40	84.10	92.00	55.40	63.50	58.10	65.00	61.30	68.70
170	Stockholm University		56.40	79.00	63.50	43.10	16.40	21.70	38.70	67.50	66.40	67.50	76.40	72.10
171	Michigan State University		56.20	64.90	67.30	28.80	66.00	50.70	58.40	56.30	66.50	68.00	71.80	70.70
172	Queen's University of Belfast		56.10	50.20	70.40	52.50	97.40	91.00	44.30	56.20	64.50	64.40	66.70	60.80
173	Vrije Universiteit Brussel (VUB)		56.10	41.40	70.20	96.20	71.30	64.70	31.60	51.60	65.50	64.30	62.70	61.40
174	University of Science and Technology of China		55.90	60.40	45.50	60.30	12.70	2.50	70.90	38.10	71.20	59.40	77.90	56.30
175	Case Western Reserve University		55.70	33.00	5.30	96.50	22.70	59.80	91.80	39.20	57.10	68.50	0.00	0.00
176	Nanjing University		55.70	71.40	55.20	41.10	41.20	20.10	50.50	57.90	68.00	59.70	74.80	63.70
177	Universitat Autónoma de Barcelona		55.60	79.00	44.00	34.90	22.80	30.50	48.70	62.20	64.20	66.60	72.00	69.20
178	University of Barcelona		55.40	84.70	61.50	29.00	6.00	23.40	39.30	69.50	71.90	74.00	76.20	68.30
179	University of Florida		55.00	61.90	51.60	55.50	15.90	26.80	58.30	56.10	67.30	74.60	70.60	64.00
180	University of Waterloo		54.90	60.70	81.80	23.80	78.90	70.30	50.00	49.60	76.80	55.70	73.40	62.80
181	Vanderbilt University		54.80	49.30	16.40	100.00	6.70	27.10	57.90	48.80	0.00	74.80	62.70	56.70
182	VU University Amsterdam		54.80	68.20	62.80	44.40	44.70	16.30	45.60	61.30	61.90	71.90	67.40	68.80
183	Technion - Israel Institute of Technology		54.60	55.20	39.70	38.40	66.20	9.90	84.50	0.00	69.20	63.10	71.00	0.00
184	Technische Universität Berlin		54.60	71.00	73.00	55.90	38.40	43.40	17.30	48.20	77.30	0.00	72.70	58.20
185	University of Antwerp		54.20	42.20	46.40	99.50	68.90	53.50	32.30	55.50	61.90	65.50	64.10	64.40
186	Universität Hamburg		54.10	70.80	46.20	55.20	26.00	46.10	31.40	65.20	62.10	69.30	73.00	62.80
187	University of Bath		54.00	46.50	86.90	33.00	87.70	93.80	54.30	48.60	67.60	58.00	66.60	67.50
188	University of Bologna		53.80	86.50	67.10	16.80	7.10	19.50	37.90	69.60	67.10	68.80	72.70	68.00
189	Georgetown University		53.70	49.60	68.20	52.50	63.90	40.70	55.50	65.10	0.00	66.70	0.00	71.10
190	Queen's University, Ontario		53.70	53.40	67.80	22.20	74.80	29.00	78.70	56.70	63.90	66.00	64.00	65.40
191	Université Paris-Sud 11		53.70	50.60	31.60	69.50	32.50	56.60	58.60	0.00	64.50	73.40	75.30	0.00
192	University of Illinois, Chicago (UIC)		53.50	52.30	47.30	52.80	39.30	22.20	70.30	55.30	67.30	68.90	64.40	61.10
193	Keio University		52.80	67.10	84.60	60.80	15.30	8.20	19.90	56.40	63.20	69.10	58.50	63.00
194	University of Sussex		52.80	51.60	41.00	33.50	85.40	93.50	61.30	61.50	0.00	57.20	61.70	67.00
195	Universidad Autónoma de Madrid		52.70	72.80	67.60	37.80	15.50	18.20	37.00	61.60	67.40	66.70	75.30	68.50
196	Aalto University		52.60	48.20	58.60	98.00	55.00	30.00	17.00	0.00	73.00	0.00	66.80	0.00
197	Sapienza University of Rome		52.60	85.30	58.10	9.80	5.20	20.00	46.40	68.90	68.80	68.70	76.40	63.70
198	Tel Aviv University		52.60	59.60	40.70	14.40	26.90	8.60	99.40	54.80	60.80	65.90	66.40	60.50
199	National Tsing Hua University		52.40	59.60	40.00	32.10	41.30	13.30	76.10	0.00	71.20	54.50	71.20	57.30
200	Western University	5	52.40	51.10	59.60	33.70	76.50	44.70	65.20	55.40	60.80	67.40	63.50	66.50
201	University of Calgary	5	52.20	56.20	53.60	20.60	51.30	58.30	73.00	57.80	65.00	69.10	67.60	61.50
202	Chalmers University of Technology		52.10	44.40	78.90	55.90	69.00	51.70	45.30	0.00	75.60	0.00	71.70	54.10
203	University of Leicester	5	52.10	37.00	42.00	56.50	79.40	95.80	64.40	52.80	0.00	66.40	61.10	59.90
204	Tufts University		52.00	27.60	34.00	62.70	73.30	34.90	97.20	52.90	0.00	71.90	58.20	57.00
205	Université Paris Diderot - Paris 7		51.80	68.90	17.40	26.90	41.40	49.70	61.80	48.40	57.30	66.30	61.60	0.00
206	University of Gothenburg		51.80	54.40	51.30	47.40	35.20	19.60	62.60	55.50	57.70	72.30	62.30	65.10
207	University of Turku		51.80	45.20	64.10	86.20	35.60	10.50	37.70	58.70	58.70	67.00	59.10	67.00
208	Universität Frankfurt am Main		51.00	61.90	61.00	37.40	23.30	51.70	43.80	59.90	59.00	71.20	66.30	65.70
209	Universidad de Buenos Aires		50.80	91.90	90.50	15.30	0.00	12.60	5.80	69.00	65.30	67.20	69.80	71.20
210	University College Cork	5	50.60	47.70	67.10	43.80	88.30	45.30	45.90	54.00	67.60	66.50	64.80	57.70
211	University of Tsukuba		50.60	52.30	36.00	90.90	15.70	26.70	28.00	43.60	60.80	60.90	67.00	54.70
212	University of Arizona		50.50	57.40	22.50	38.90	23.50	18.90	75.80	58.50	61.80	68.50	71.90	61.00
213	University of Reading		50.40	45.80	54.50	48.30	84.90	87.80	40.70	60.30	58.20	54.50	66.20	61.80
214	Sciences Po Paris		50.20	36.70	85.30	90.90	68.00	97.30	1.80	0.00	0.00	0.00	0.00	71.70
215	Universidade Estadual de Campinas		50.10	72.00	61.60	34.00	13.40	6.20	35.90	51.90	66.70	59.10	66.10	62.70
216	King Fahd University of Petroleum & Minerals	4	49.90	44.00	55.40	84.70	100.00	61.60	7.70	0.00	71.20	0.00	62.70	64.70
217	University Complutense Madrid		49.90	78.20	76.10	33.70	3.70	19.70	14.80	68.20	66.80	65.50	71.10	70.80
218	Université Paris-Sorbonne (Paris IV)		49.90	85.80	76.00	15.70	24.70	59.90	1.90	75.50	0.00	0.00	0.00	0.00
219	University of Dundee		49.80	35.20	16.60	68.30	81.80	75.70	61.60	41.80	0.00	77.20	0.00	0.00
220	Université Joseph Fourier - Grenoble 1		49.60	52.50	37.60	45.40	20.00	47.20	61.20	0.00	69.40	62.10	76.30	0.00
221	Waseda University		49.60	72.30	85.40	35.40	34.10	24.70	9.60	62.70	63.80	0.00	63.00	65.90
222	Indian Institute of Technology Delhi (IITD)		49.40	51.30	86.80	35.90	1.30	1.50	63.30	0.00	75.90	0.00	66.20	59.60
223	Universidad de Chile		49.30	80.10	79.40	19.10	12.20	8.10	21.50	59.60	63.80	63.80	60.40	66.20
224	University of Notre Dame		49.20	41.30	61.60	51.70	49.80	21.90	61.90	64.80	62.10	0.00	65.20	61.30
225	Université Paris 1 Panthéon-Sorbonne 		49.10	80.40	88.00	8.20	34.00	74.70	4.20	76.20	0.00	0.00	0.00	74.00
226	Université de Strasbourg		48.50	74.30	25.80	19.60	28.00	67.30	36.50	45.90	65.40	69.60	75.50	55.60
227	University of Ottawa		48.40	47.30	31.70	13.70	88.70	39.80	84.70	51.90	60.20	69.50	60.90	59.20
228	University of Twente		48.00	39.00	39.10	44.40	74.60	75.40	59.80	0.00	68.60	0.00	65.30	56.90
229	University of East Anglia (UEA)		47.70	44.10	31.20	42.50	83.90	88.00	48.40	57.40	0.00	60.70	66.10	60.40
